State,2022,2023,2024
Alabama,2120,2120,2120
Alaska,26,27,29
Arizona,629,597,642
Arkansas,6990,7211,7156
California,2230,2407,2401
Colorado,5651,5949,5810
Connecticut,76,77,75
Delaware,432,438,439
Florida,1075,1088,1053
Georgia,3366,3296,3305
Idaho,4034,4057,4173
Illinois,22800,22855,22905
Indiana,11910,11885,11700
Iowa,24300,24250,24250
Kansas,24047,25024,24428
Kentucky,5853,6147,6302
Louisiana,3204,3214,3225
Maine,253,242,258
Maryland,1538,1526,1521
Massachusetts,74,68,65
Michigan,6240,6270,6086
Minnesota,19067,19457,19592
Mississippi,4202,4209,4182
Missouri,13852,14657,13356
Montana,9394,9708,9858
Nebraska,19268,19473,19813
Nevada,412,393,373
New Hampshire,55,54,54
New Jersey,313,305,286
New Mexico,787,854,765
New York,2755,2730,2718
North Carolina,4404,4397,4215
North Dakota,21596,24078,23892
Ohio,9870,9850,9640
Oklahoma,9616,10724,9566
Oregon,1739,1852,1899
Pennsylvania,3523,3395,3456
Rhode Island,9,8,8
South Carolina,1462,1423,1430
South Dakota,16617,17222,16765
Tennessee,4910,5000,4928
Texas,21728,22136,21752
Utah,860,856,882
Vermont,255,254,254
Virginia,2441,2583,2555
Washington,3609,3854,3911
West Virginia,605,654,640
Wisconsin,7909,7875,7802
Wyoming,1442,1416,1367
United States,310857,319601,315177
